0,12.3799,12.3885
200,5.9756,6.5028
400,5.0847,5.8762
600,4.5266,5.5791
800,4.1627,5.4471
1000,3.8748,5.3807
1200,3.6320,5.3852
1400,3.4469,5.4057
1600,3.2729,5.4488
1800,3.1374,5.4721
2000,3.0028,5.5586
2200,2.8923,5.6143
2400,2.7876,5.6815
2600,2.6768,5.7320
2800,2.5896,5.8197
3000,2.4842,5.8846
3200,2.3838,5.9373
3400,2.2740,6.0249
3600,2.1764,6.1090
3800,2.0601,6.1756
